run_name,species_code,common_name,season,region,start_year,end_year,start_date,end_date,rsquared,beta0
towsol_breeding,towsol,Townsend's Solitaire,breeding,north_america,2007,2021,06-07,08-03,0.8738304813253395,0.01839564335694025
towwar_breeding,towwar,Townsend's Warbler,breeding,north_america,2007,2021,06-21,07-20,0.8341664678317717,0.17207549057735094
treswa_breeding,treswa,Tree Swallow,breeding,north_america,2007,2021,06-07,06-21,0.9184145236247584,-0.1607039034385808
tribla_resident,tribla,Tricolored Blackbird,resident,north_america,2007,2021,03-08,04-26,0.6000852230569057,0.913556105318352
triher_breeding,triher,Tricolored Heron,breeding,north_america,2007,2021,04-26,05-17,0.7871814456643628,0.00547027008000216
trokin_breeding,trokin,Tropical Kingbird,breeding,north_america,2007,2021,06-14,08-03,0.8530034210522526,0.4751813371010087
tropar_breeding,tropar,Tropical Parula,breeding,north_america,2007,2021,04-19,05-10,0.6805955417172352,-0.6168218653092736
truswa_nonbreeding,truswa,Trumpeter Swan,nonbreeding,north_america,2007,2020,12-21,01-25,0.7476066697710394,0.09895752845836678
tuftit_resident,tuftit,Tufted Titmouse,resident,north_america,2007,2021,02-22,04-26,0.8865734612084964,-0.6278698917530574
tui1_resident,tui1,Tui,resident,new_zealand,2007,2021,01-04,12-28,0.8777585514803019,0.1318210431046562
tunswa_nonbreeding,tunswa,Tundra Swan,nonbreeding,north_america,2007,2021,01-04,02-08,0.6903600816911153,0.5650845376712265
turvul_breeding,turvul,Turkey Vulture,breeding,north_america,2007,2021,05-31,07-27,0.9355234119970024,-0.1548565049570578
uplsan_breeding,uplsan,Upland Sandpiper,breeding,north_america,2007,2021,05-31,06-21,0.7159972608167449,0.6497156782680412
varthr_breeding,varthr,Varied Thrush,breeding,north_america,2007,2021,06-07,07-06,0.886979701882473,-0.09891346977017894
vauswi_breeding,vauswi,Vaux's Swift,breeding,north_america,2007,2021,06-21,08-03,0.9074901407257908,0.04628703766279406
veery_breeding,veery,Veery,breeding,north_america,2007,2021,06-14,07-27,0.9253482371184164,0.0254969049863158
verdin_resident,verdin,Verdin,resident,north_america,2007,2021,01-11,03-15,0.8884387785066769,-0.08335146691300024
verfly_breeding,verfly,Vermilion Flycatcher,breeding,north_america,2007,2021,06-14,08-10,0.8282008871862766,-0.06158904715071122
vesspa_breeding,vesspa,Vesper Sparrow,breeding,north_america,2007,2021,06-07,07-20,0.8647586721903363,0.14654858571557328
vichum_breeding,vichum,Violet-crowned Hummingbird,breeding,north_america,2007,2021,04-12,08-17,0.8277289627030567,-0.06933400574719406
vigswa_breeding,vigswa,Violet-green Swallow,breeding,north_america,2007,2021,05-24,06-28,0.9226753910390186,-0.1981063063128222
virrai_breeding,virrai,Virginia Rail,breeding,north_america,2007,2021,06-07,07-06,0.8971219530395581,-0.19507001255417225
virwar_breeding,virwar,Virginia's Warbler,breeding,north_america,2007,2021,05-31,07-27,0.8932158912691393,-0.4162500066753556
warvir_breeding,warvir,Warbling Vireo,breeding,north_america,2007,2021,06-28,07-13,0.9177230345905656,-0.08103887621267397
wepdov1_resident,wepdov1,West Peruvian Dove,resident,south_america,2007,2021,01-04,12-28,0.8501399951663741,-0.7760176293384724
wesblu_breeding,wesblu,Western Bluebird,breeding,north_america,2007,2021,05-10,06-21,0.8741895313450277,0.22083752416164312
wesgre_breeding,wesgre,Western Grebe,breeding,north_america,2007,2021,06-14,07-27,0.7790935327616608,0.2488923051330861
